EventID,Edep_MeV
7,0.975266
8,0.969251
9,0.980412
10,0.967925
11,0.978755
12,0.968598
13,0.958059
21,0.96582
22,0.969148
23,0.975616
24,0.98039
25,0.975655
26,0.981712
27,0.972901
35,0.972136
36,0.981162
37,0.922718
38,0.974197
39,0.977045
40,0.901894
41,0.981407
49,0.903159
50,0.969683
51,0.981761
52,0.973617
53,0.978539
54,0.967594
55,0.969969
56,0.956136
57,0.96983
58,0.976672
59,0.976412
60,0.97968
61,0.976051
62,0.980765
70,0.976398
71,0.9784
72,0.977552
73,0.969637
74,0.981375
75,0.979382
76,0.952043
77,0.980257
78,0.97676
79,0.978079
80,0.979311
81,0.97861
82,0.97588
83,0.979842
84,0.977999
85,0.97667
86,0.978105
87,0.978962
88,0.974394
89,0.973169
90,0.977971
98,0.973478
